EDR140192,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.1-2, Casa dell'Atrio a Mosaico","Ercolano (Napoli), Insula IV.1-2, Casa dell'Atrio a Mosaico",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,5,10.8,0,"3,6-5",tit. integer,archaeologia,,,0
EDR140165,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.1-2, House of the Mosaic Atrium",periit?,aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,0,0,0,,tit. integer,archaeologia,,,0
EDR140177,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.10, Bottega con Abitazione",periit,aedificium,tectorium," cetera, carbone",latina,cetera,,0,0,1,79,0,47.6,0,"2,1-16",tit. integer,archaeologia,,,0
EDR145942,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.11, facade",periit,aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,0,0,0,,tit. integer,archaeologia,,,0
EDR140174,LaC,I,Herculaneum ,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.14, Taberna Vasaria  ",Periit,aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,12,21.9,0,"7,2-12",tit. integer,archaeologia,,,0
EDR144354,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.15-16, Caupona",periit,aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,5.3,12.6,0,"1,1-5,3",tit. integer,archaeologia,,,0
EDR140220,LaC,I,Herculaneum ,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.15-16, Grande Taberna con Abitazione",Periit,aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,9.8,21.1,0,"6,3-9,8",tit. integer,archaeologia,,,0
EDR140224,LaC,I,Herculaneum ,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.15-16, Grande Taberna con Abitazione",periit,aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,0,15,0,"0,6-5,8",tit. mutilus,archaeologia,,,0
EDR140190,LaC,I,Herculaneum ,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.15-16, Grande Taberna con Abitazione",periit,aedificium,tectorium,litt. scariph.,latina,cetera,cet.,0,0,1,79,0,14.6,0,"0,9-2,8",tit. integer,archaeologia,,,0
EDR140213,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.15-16, Grande Taberna con Abitazione ",periit,aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,18.2,31,0,"0,8-18,2",tit. integer,archaeologia,,,0
EDR140217,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.15-16, Grande Taberna con Abitazione ",periit,aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,10,57.5,0,"0,9-10",tit. integer,archaeologia,,,0
EDR140237,LaC,I,Herculaneum ,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.15-16, Grande Taberna con Abitazione ",periit,aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,15.8,38.8,0,"6,8-15,8",tit. integer,archaeologia,,,0
