"EDR127830","CIL 04, 08564b (1)<br>Tyche, 27, 2012, p. 104 (P. Kruschwitz, V. Campbell, and M. Nicholls) (2)"
"EDR127845","CIL 04, 08642 (1) "
"EDR128016","CIL 04, 08572 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 133 con facsimile (2)"
"EDR128051","CIL 04, 08675a (1)"
"EDR128060","CIL 04, 08601 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 136 con foto (2)"
"EDR128543","CIL 04, 08188 (1)<br>"
"EDR128544","CIL 04, 08198 (1)"
"EDR128550","CIL 04, 08205a (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 49 con foto (2)"
"EDR128663","CIL 04, 08570 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131 con facsimile del testo per striae 15-16 (2)"
"EDR128117","CIL 04, 08626c (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146, con imagine (2)"
"EDR127405","CIL 04, 08562 (1)<br>"
"EDR127831","CIL 04, 08564c (1)"
"EDR128290","CIL 04, 08561b (1)"
"EDR128661","CIL 04, 08565a (1)"
"EDR128733","CIL 04, 08565b (1)"
"EDR128734","CIL 04, 08566b (1)"
"EDR128737","CIL 04, 08575a (1)"
"EDR127193","CIL 04, 08576 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 133 con facsimile (2) "
"EDR127297","CIL 04, 08550 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 128 con foto (2)"
"EDR127407","CIL 04, 08534 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p.119 con foto. (2)"
"EDR127421","CIL 04, 08558 (1)"
"EDR127816","CIL 04, 08618a (1), <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 con foto (2)"
"EDR127817","CIL 04, 08618b (1),<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 con foto (2)"
"EDR127820","CIL 04, 08619a (1), <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 con foto (2)"
"EDR127847","CIL 04, 08573 (1)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung und Bedeutung. Wiesbaden: 2001, n.873 (gladiator), n.1760 (avis) (2)"
"EDR127971","CIL 04, 08588 (1)"
"EDR127973","CIL 04, 08586a (1)"
"EDR128278","CIL 04, 08656b (1) "
"EDR128286","CIL 04, 08541 (1)"
"EDR128554","CIL 04, 08201 (1)"
"EDR128559","CIL 04, 08203 (1),<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 49 con foto (2)"
"EDR128560","CIL 04, 08191 (1)"
"EDR128581","CIL 04, 08187 (1)"
"EDR128641","CIL 04, 08658a (1) "
"EDR128642","CIL 04, 08658b (1) "
"EDR128643","CIL 04, 08658c (1) "
"EDR128644","CIL 04, 08659a (1) "
"EDR128645","CIL 04, 08659b (1) "
"EDR128647","CIL 04, 08202e (1) "
"EDR128648","CIL 04, 08202f (1) "
"EDR128649","CIL 04, 08202g (1) "
"EDR128650","CIL 04, 08202h (1) "
"EDR128738","CIL 04, 08569 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131 con facsimile (2) <br>M.Langner, Antike Graffitizeichnungen: Motive, Gestaltung und Bedeutung. Wiesbaden 2001, n. 956 (3)"
"EDR128751","CIL 04, 08542 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 123 con foto (2)"
"EDR128754","CIL 04, 08543 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 124 con foto (2)"
