EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Latin Description of Figural Graffito,English Description of Figural Graffito,
 ,,,Does the CIL # have a drawing with a Langner #,,,(no spaces in the names),,,,Latin Description ,,
"1) from agp.wlu.edu, Go through I.8.17, then VII.12.18 - look for any figural graffiti and add to spreadsheet ",,,,,,,,,,,,
EDR148422,,,170,Pompeii,,,,,Geometric designs,permulta quadrata triangulaque,geometric design of several squares and triangles,
EDR151701,,,224,Pompeii,,,,,Human figures,hominis facies,human face,
EDR149142,2375,,274,Pompeii,,,,,Human figures,hominis caput cum naso ingenti,human head with large nose,
EDR149159,,,300,Pompeii,,,,,"Human figures, Erotic images",caput hominis/ phallus directus versus os capitis illius,man's head/ upright phallus pointing towards man's head,
EDR149038,,,333,Pompeii,,,,,Human figures,viri facies barbata ad sin,bearded face of man facing left,
EDR148862,,,496,Pompeii,,,,,Human figures,viri herma ad sin. conversus,head of a man,
EDR151700,,,690,Pompeii,,,,,Human figures,hominis figura,human figure,
EDR149035,,,820,Pompeii,,,,,Gladiators,retiarius cum tridenti,retiarius with trident,
EDR150296,,,"846, 847",Pompeii,,,,,Gladiators,"figurae duorum gladiatorum, alter retiarius est cum fuscina; alter cum hasta et fortasse cum fuscina armatus est","figures of two gladiators, one is a retiarius with a trident; the other is armed with a spear and perhaps a trident",
EDR149196,,,"848, 849",Pompeii,,,,,Gladiators,"duo gladiatores, a quibus alter, sub SAC, alterum, sub M, tridente petit","two gladiators, one attacking the other with a trident",
EDR151705,,,883,Pompeii,,,,,Gladiators,gladiator,gladiator,
EDR152008,,,894,Pompeii,VII,12,18-20,,Gladiators,homo galeatus,man wearing helmet,
EDR150297,,,896,Pompeii,,,,,Gladiators,figura gladiatoris cum galea ac fortasse scuto,figure of a gladiator with a helmet and perhaps a shield,
EDR148874,,,959,Pompeii,,,,,,scutum,shield,
EDR150397,,,1355,Pompeii,,,,,"Animals, Plants, Other",casulae frons cui et ad d. et ad sin. palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur,"front of a house flanked on the right and the left by a palm, and whose door is approached by a quadruped who seems to have long horns like a deer",
EDR148731,,,1491,Pompeii,,,,,Animals,tres tauri ad sin. currentes,three bulls running to left,
EDR149039,,,1704,Pompeii,,,,,Animals,gallus ad sin. rostro cibum carpens,"rooster pecking at food, facing left",
EDR148863,,,1754,Pompeii,,,,,Animals,avis,bird,
EDR148864,,,1755,Pompeii,,,,,Animals,avis stans,bird standing,
EDR148865,,,1756,Pompeii,,,,,Animals,avis stans,bird standing,
