EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito
 ,,,Does the CIL # have a drawing with a Langner #,,,(no spaces in the names),,,,,Latin Description ,
EDR145005,10561 (nota),,1109,Herculaneum,,IV,21,House of Stags,Animals,,cervus a cane assultatus,stag attacked by dog
EDR145006,10561 (nota),,1110,Herculaneum,,IV,21,House of Stags,Animals,,cervus a cane assultatus,stag attacked by dog
EDR145007 ,10561 (nota),,1124,Herculaneum,,IV,21,House of Stags,"Animals, Other",,cervus a viro laqueo captus,stag captured by a man with a rope
EDR145008,10561 (nota),,1125,Herculaneum,,IV,21,House of Stags,"Animals, Human figures",,cervus a viro laqueo captus et a cane assultatus,stag captured by a man with a rope and attacked by a dog
EDR145943,,,1289,Herculaneum,,II,2,House of Argus,"Human figures, Erotic images",,scaena erotica,erotic scene
EDR145009,10561 (nota),,1310,Herculaneum,,IV,21,House of Stags,"Human figures, Animals",,vir cervum equitans,man riding stag
EDR145030,,,1372,Herculaneum,,V,1,Samnite House,"Human figures, Animals",,"gryllus feminae cum cornibus, unguibus, dentibus, et alis, falcem aut baculum tenentis","caricature of a woman with horns, claws, teeth, and wings, holding a scythe or staff"
EDR156776,10596 (nota),,1377,Herculaneum,,VI,"1,7-10",Central Baths,Human figures,,vir baculo nixus,man leaning on staff
EDR144514,,,1443,Herculaneum,,V,1,Samnite House,Animals,,"camelus dromedarius cum cauda, lodicem gerens, ad dext. incedens","camel, wearing blanket, with tail, walking to the right"
EDR145764  ,10561 (nota),,1509,Herculaneum,,IV,21,House of Stags,Animals,,cervus,stag
EDR145765,10561 (nota),,1510,Herculaneum,,IV,21,House of Stags,Animals,,cervus,stag
EDR145766,10561 (nota),,1511,Herculaneum,,IV,21,House of Stags,Animals,,cervus,stag
EDR145935 ,10600 (nota),,1521,Herculaneum,,VI,"1,7-10",Central Baths,Animals,,cervus stans,standing stag
EDR145767,10561 (nota),,1595,Herculaneum,,IV,21,House of Stags,Animals,,animal,animal
EDR145768,10561 (nota),,1596,Herculaneum,,IV,21,House of Stags,Animals,,animal,animal
EDR145032,,,1688,Herculaneum,,V,1,Samnite House,Animals,,gallus cum crista alisque,rooster with comb and wings
EDR145036,,,2169,Herculaneum,,InsulaOrientalisI,2,House of the Telephus Relief,Boats,,navis,boat
EDR145037,,,2220,Herculaneum,,InsulaOrientalisI,2,House of the Telephus Relief,Boats,,carina navis,keel of ship
EDR144347,10561 (nota),,2318,Herculaneum,,IV,21,House of Stags,Other,,basis columnae cum parte columnae ornamentae et fortasse scalae,base and part of a decorated column and perhaps a ladder
EDR144348,10561 (nota),,2319,Herculaneum,,IV,21,House of Stags,Other,,basis columnae,column base
EDR144349,10561 (nota),,2320,Herculaneum,,IV,21,House of Stags,Other,,basis columnae,column base
EDR144350,10561 (nota),,2321,Herculaneum,,IV,21,House of Stags,Other,,basis columnae,column base
EDR144352,10561 (nota),,2322,Herculaneum,,IV,21,House of Stags,Other,,basis columnae,column base
EDR144353,10561 (nota),,2323,Herculaneum,,IV,21,House of Stags,Other,,basis columnae,column base
EDR144354,10532,,11 & 12,Herculaneum,,IV,15-16,Grand Taberna,Boats,,"nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis","names FAVSTVS and NOTHVS written in the shape of three boats, NOTHVS twice"
EDR140144,10568,,,Herculaneum,,V,10,Taberna,Erotic images,,phallus,phallus
EDR140061 ,10604,a,,Herculaneum,,VI,"1,7-10",Central Baths,Erotic images,,phallus,phallus
EDR140054,10622,,,Herculaneum,,InsulaOrientalisI,2,House of the Telephus Relief ,Boats,,feliciter in forma navis scriptum,FELICITER written in the shape of a boat
EDR140239,10652,,,Herculaneum,,InsulaOrientalisII,2-3,,Boats,,nomen C(AIUS) IUNIUS in forma navis scriptum,name CAIUS IUNIUS written in the shape of a boat
EDR153742,10655,a,,Herculaneum,,InsulaOrientalisII,2-3,,Boats,,nomen SILENTIOLUS in forma navis scriptum,name SILENTIOUS written in the shape of a boat
EDR153743,10655,b,,Herculaneum,,InsulaOrientalisII,2-3,,Boats,,nomen SILENTIOLUS in forma navis scriptum,name SILENTIOUS written in the shape of a boat
EDR158823,10535 (nota),,,Herculaneum,,IV,15-16,Grand Taberna,Erotic images,,phallus,phallus
EDR154541,10704 (nota),,,Herculaneum,,OutsideWalls,,Ramp,Erotic images,,phallus,phallus
EDR158824,10711 (nota),,,Herculaneum,,V,35,House of the Grand Portal,Erotic images,,phalllus,phallus
EDR159351,,,,Herculaneum,,,,Ramp,Erotic images,,phallus,phallus
EDR159866,,,,Herculaneum,,IV,17,Taberna of Priapus,Human figures,,caput viri barbati,head of bearded man
EDR159867,,,,Herculaneum,,IV,17,Taberna of Priapus,Human figures,,facies,face
EDR159868,,,,Herculaneum,,V,15,House of the Bicentenary,Other,,duae lanternae,two lanterns
EDR159869,,,,Herculaneum,,WithinWalls,,Decumanus Maximus ,Boats,,navis oneraria,cargo ship
EDR159886,,,,Herculaneum,,WithinWalls,,Cardo III,Human figures,,caput viri cum nomine Γαιοc in collo,head of a man with the name Γαιοc written on his neck   
EDR159880,,,,Herculaneum,,WithinWalls,,Decumanus Maximus ,Human figures,,caput viri galeati,head of man wearing helmet
