"EDR092812","LaC","I","Pompeii","Pompei (Napoli)","Haus des C.Iulius Polybius",,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR072296","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio V.6.c, ad dextram ostii, facade","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","ord. mun.","0","0","1","79","0.00","73.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR071662","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio V.2.i, Casa delle Nozze d'Argento","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","imp.","0","0","60","79","0.00","0.00","0.00",,"tit. integer","archaeologia; prosopographia",,,"0"
"EDR071808","LaC","I","Pompeii","Pompei (Napoli)",,,,,"litt. scariph.",,,,"0","0","0","0","0.00","0.00","0.00",,,,,,"0"
"EDR073222","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), reg. I, 10, 11, domus, a dx della porta del terzo cubicolo (a. 1933)",,,,"litt. scariph.",,,,"0","0","0","0","0.00","0.00","0.00",,,,,,"0"
"EDR073314","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VIII.1.1, Basilica","Napoli, Museo Archeologico Nazionale","aedificium","tectorium","litt. scariph.","latina","cetera","ord. mun.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR073610","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), reg. I, 8, 17, domus dei 'quattro stili', cortile, presso un bidental",,"tegula","creta","scalpro","latina","cetera",,"0","0","0","0","0.00","16.50","0.00",,,"archaeologia",,,"0"
"EDR073766","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VII.4.31, Casa di Arianna","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","cet.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR074234","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VII.12.13-14, facade","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,"distichum elegiacum","1"
"EDR158675","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio V.5.3, Casa dei Gladiatori","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","cet.","0","0","1","79","0.00","0.00","0.00","1,2-1,5","tit. integer","archaeologia",,,"0"
"EDR152964","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","0.00","0.00","1,4 - 3,2","tit. integer","archaeologia",,,"0"
"EDR153355","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","0.00","0.00","0,3-1,7","tit. integer","archaeologia",,"senarius; iambicus","1"
"EDR152963","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","7.00","0.00","0,6-1,7","tit. integer","archaeologia",,,"0"
"EDR152931","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Periit","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","0.00","0.00","0,8-1,4","tit. integer?","archaeologia",,,"0"
"EDR152815","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.13, Casa del Salone Nero","Periit","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","16.10","0.00","0,8-2,4","tit. integer?","archaeologia",,,"0"
"EDR152929","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.13, Casa del Salone Nero","Periit","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","3.30","0.00","0,5-2,5","tit. integer","archaeologia",,,"0"
"EDR152999","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Periit","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","5.30","0.00","0,7-1,2","tit. integer","archaeologia",,,"0"
"EDR151899","LaC","I","Herculaneum","Ercolano (Napoli) ","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo ","Periit? ","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","5.20","0.00","1,0-1,8","tit. fragmentum","archaeologia",,,"0"
"EDR153000","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","1.00","7.20","0.00","0,6-1,1","tit. integer","archaeologia",,,"0"
"EDR153110","LaC","I","Herculaneum","Ercolano (Napoli)","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","15.00","0.00","1,1-4,3","tit. mutilus","archaeologia",,,"0"
"EDR076752","LaC","I","Pompeii","Pompei (Napoli)","Haus des C.Iulius Polybius, Atrium, westliche Wand",,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR076753","LaC","I","Pompeii","Pompei (Napoli)","Haus des C. Iulius Polybius, cortile della cucina",,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR076754","LaC","I","Pompeii","Pompei (Napoli)","Haus des C. Iulius Polybius, cortile della cucina",,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR076755","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio IX.13.1, Casa di Giulio Polibio, cortile della cucina","Pompei (Napoli), Deposito","aedificium","tectorium","litt. scariph.","latina","cetera","cet.","0","0","50","79","0.00","0.00","0.00",,"tit. integer","archaeologia; prosopographia","Pagana",,"0"
"EDR076757","LaC","I","Pompeii","Pompei (Napoli)","Haus des C.Iulius Polybius, östliche Wand",,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR076758","LaC","I","Pompeii","Pompei (Napoli)","Haus des C.Iulius Polybius, nördlicher Wandelgang",,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR077698","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Campus ad Amphitheatrum (II.7), col. CV","Periit","columna","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR079495","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio III.5.2-3, facade","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR079713","LaC","I","Pompeii","Pompei (Napoli)","Haus des C. Iulius Polybius, Pfosten",,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR079714","LaC","I","Pompeii","Pompei (Napoli)","Haus des C. Iulius Polybius, cortile della cucina",,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR148672","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VIII.3.7","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","2.00","5.90","0.00","0,4-0,7","tit. integer","archaeologia",,,"0"
"EDR148654","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VIII.3.24, Casa di Apollo e Coronis","Pompei (Napoli), Regio VIII.3.24, Casa di Apollo e Coronis","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","7.20","17.20","0.00","0,8 - 7,2","tit. integer","archaeologia",,,"0"
"EDR127829","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli). Campus ad amphitheatrum (II.7). col. XVIII","Periit?","columna","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.80","4.00","0.00","0,2 - 0,8","tit. integer","archaeologia",NULL,NULL,NULL
"EDR127413","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Campus ad Amphitheatrum (II.7), col. XXIX","Pompei (Napoli), Campus ad Amphitheatrum (II.7), col. XXIX","columna","tectorium","litt. scariph.","latina","cetera","cet.","0","0","1","79","2.90","3.00","0.00","0,5-2,5","tit. integer","archaeologia",NULL,NULL,NULL
