"EDR127191";"Textus secundum (1)"
"EDR127188";"Textus secundum (1)"
"EDR127080";"Textus secundum (1)<br>v. 2: 'u' written as 'x'"
"EDR127160";"Textus secundum (1)<br>A backwards C appears in text as a symbol for centuria."
"EDR127424";"Textus secundum (1)"
"EDR127140";"Textus secundum (1)"
"EDR127234";"Textus secundum (2) <br>v. 1: The letter ""e"" appears as ""II"" and the letter T is taller than the other letters in the text. "
"EDR127299";"Textus secundum (1)"
"EDR127403";"Textus secundum (1)<br>v. 1: ((C)) represents a backwards ""C""."
"EDR127406";"Textus secundum (1)"
"EDR127428";"Textus secundum (1)"
"EDR127081";"Textus secundum (1)<br>vv. 4, 7, 9: the letter ""e"" is written as ""II"" (CIL 04, 08568)"
"EDR127145";"Textus secundum (2)"
"EDR127396";"Textus secundum (1); titulus periit (2)  "
"EDR127801";"Textus secundum (1)"
"EDR127835";"Textus secundum (1). Nomen ad perpendiculum scriptum (CIL ad loc.) Titulus periit (2). "
"EDR127843";"Textus secundum (1)"
"EDR127154";"Textus secundum (1). Titulus periit (2). <br>v.4: the letter ""E"" is written as ""II"" for ""ven"" and ""Quenitus."" "
"EDR127414";"Textus secundum (1)"
"EDR127575";"Textus secundum (1)"
"EDR127151";"Textus secundum (1), v.1: Mo(desti)(?)"
"EDR127212";"Textus secundum (1)<br>v.1: 'E' appears as 'II'"
"EDR127242";"Textus secundum (1)"
"EDR127430";"Textus secundum (1)"
"EDR127572";"Textus secundum (1)"
"EDR127574";"Textus secundum (1)<br>v. 1: Lepidi vel L(uci) Epidi?"
"EDR127576";"Textus secundum (1)"
"EDR128046";"Textus secundum (1)<br>v. 1: Col[l]atius?"
"EDR128047";"Textus secundum (1)<br>v. 1: The first ""i"" in Lucilius is taller than the rest of the letters"
"EDR128114";"Textus secundum (2)"
"EDR127149";"Textus secundum (1)"
"EDR127404";"Textus secundum (1)<br>"
"EDR127415";"Textus secundum (1)<br>"
"EDR127418";"Textus secundum (1)<br>v. 1: QV measures 0,4cm in length; QV AD measures 1,4cm in length "
"EDR127848";"Textus secundum (1)"
"EDR127850";"Textus secundum (1)"
"EDR128048";"Textus secundum (1)"
"EDR128050";"Textus secundum (1)"
"EDR128279";"Textus secundum (1)"
"EDR127213";"Textus secundum (1)<br>v. 2: 'L' is tall"
"EDR127425";"Textus secundum (1)<br>v.1: Cinn(amus?)"
"EDR127231";"Textus secundus (1), <br>v.1: inop(s) vel inop(us?) (2) "
"EDR127233";"Textus secundum (1), periit (3). <br>v. 1-2: initium versus Verg. Ecl. II.21<br>De eodem carmine, vide EDR160232<br>"
"EDR127237";"Textus secundum (1), periit (2)"
"EDR127368";"Textus secundum (1)"
"EDR127399";"Textus secundum (1), periit (2) <br>v. 4: the letter ""E"" is written as ""II."" "
"EDR127573";"Textus secundum (1)"
"EDR127578";"Textus secundum (1)<br>v. 1: A backwards ""C"" denotes either 'centuria' or 'centurionis'."
"EDR127806";"Textus secundum (1), periit (2). "
"EDR127808";"Textus secundum (2)<br>"
"EDR128116";"Textus secundum (1)<br>v.1: The letters ""V"" and ""A"" are written upside down; the letter ""E"" is written as ""II"". "
"EDR127192";"Textus secundum (1)<br>v. 2: the letter ""E"" is written as II"
"EDR127298";"Textus secundum (1)<br>v. 1: A[ulus?] vel P[ublius?]<br>vv. 4-5: Qui/[e]ti? vel Qui[(n)c?]ti?"
"EDR127577";"Textus secundum (1)<br>v. 1: Postu(mi) vel Postu(mius)?"
